directory_id,org_name,primary_category,service_categories,address,latitude,longitude,mappable,geocode_precision,phone,website,email,coverage_area,hours,services,source_name,source_url,last_checked_date
DIR_50c20c683b,CENTRE D'ALPHABÉTISATION DE VILLERAY LA JARNIGOINE,Education & Literacy,Legal; Education & Literacy,"211 Jarry Street East, Villeray—Saint-Michel—Parc-Extension, Montréal, QC, H2P 1T6",45.537104,-73.625126,1,approximate,514 273-6683,www.jarnigoine.com,info@jarnigoine.com,Montréal,Monday to Thursday 8h30 to 16h30,"* Reception, evaluation and referrals.* Literacy workshops.* Computer workshops.* Advocacy for people who have a hard time writing or reading.* Illiteracy prevention and awareness.* Production of educational tools.* Fighting for more accessible information.* Presentations on literacy issues.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_070070e273,CENTRE D'APPRENTISSAGE PARALLÈLE,Medical,Medical; Employment & Income; Recreation & Culture,"4865 Saint-Laurent Boulevard, Le Plateau-Mont-Royal, Montréal, QC, H2T 1R6",45.522145,-73.590431,1,exact,514 843-5658,ateliersducap.org/en,info@ateliersducap.org,Montréal Island,Monday to Friday 9h00 to 17h00,"Learning centre for people living with a mental health issue.* 6 months job preparation program: acquiring personal and vocational skills to integrate the job market, job search and retention assistance.* Atelier Projet: social and vocational integration through artistic learning (20 hours a week, 12 months).* Workshops on expression through visual arts: therapeutic workshops to foster mental fluidity and reduce anxiety (2 hours a week).* Art therapy workshops for young adults.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_301dbf023b,CENTRE D'ASSISTANCE ET D'ACCOMPAGNEMENT AUX PLAINTES - MONTRÉAL ISLAND,Shelter,Shelter; Medical; Legal; Seniors; Community & Advocacy,"4900 Jean-Talon Street West, Suite 210, Côte-des-Neiges—Notre-Dame-de-Grâce, Montréal, QC, H4P 1W9",45.503182,-73.569806,1,approximate,514 861-5998,www.caapidm.ca,info@caapidm.ca,Montréal Island,Monday to Friday 8h30 to 17h00,Advocacy of rights for users of the health and social services network.* Information and referral.* Support and consultation.* Assistance in formulating a complaint and accompaniment in the complaint process.* Information and assistance to tenants of private residences for seniors (RPA) to formulate a complaint and accompaniment in the complaint process.* Assistance to facilitate the amicable settlement of a dispute with a landlord of private residences for the elderly or of a dispute following an application to the Tribunal administratif du logement.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_3d6eef7d73,CENTRE D'ENCADREMENT POUR JEUNES FEMMES IMMIGRANTES,Immigration & Newcomers,Food; Immigration & Newcomers; Youth & Family; Community & Advocacy,"831 Décarie Street, Suite 301, Saint-Laurent, Montréal, QC, H4L 3L8",45.503182,-73.569806,1,approximate,514 744-2252,www.cejfi.org,contact@cejfi.org,Greater Montréal,"Monday to Friday 9h00 to 17h00, food assistance: Tuesday 13h30","Social, economic, cultural and civic integration of young immigrant women.* Information and referral.* Trainings: early childhood, multimedia, computer science, digital coding, business start-up, AI and business follow-up.* Guidance, accompaniment and follow-up.* Food assistance.* Christmas baskets.* Employability services.* Social and friendship networks.* Promotion and public awareness.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_1f827c6424,CENTRE D'ENTRAIDE AUX FAMILLES CEAF,Youth & Family,Food; Youth & Family,"8280 Gouin Boulevard East, Rivière-des-Prairies—Pointe-aux-Trembles, Montréal, QC, H1E 1B9",45.660607,-73.525314,1,approximate,438 875-5523,,cpam006@hotmail.com,Rivière-des-Prairies,distribution: Friday 15h00 to 17h30,* Food assistance.* Christmas baskets.* Christmas dinner.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_ce47ca813e,CENTRE D'ENTRAIDE ET DE RALLIEMENT FAMILIAL,Food,Food; Medical; Employment & Income; Youth & Family; Material Aid,"105 Ontario Street East, Suite 101, Ville-Marie, Montréal, QC, H2X 1G9",45.512617,-73.566553,1,exact,514 288-8314,www.cerf-montreal.org,cerfmontreal@gmail.com,from Bleury to Atateken and from Sherbrooke to de la Commune,"Tuesday to Thursday 9h30 to 16h30, Friday 9h00 to 12h00, food assistance: last Thursday of each month",* Monthly food assistance for family members.* Emergency food assistance only with a referral from the CIUSSS.* Youth cooking workshop.* Thrift store.* Popular education.* Tax clinic.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_eab69bc6e9,CENTRE D'ENTRAIDE LE PIVOT,Medical,Medical; Community & Advocacy; Recreation & Culture,"3164 Langelier Boulevard, Mercier—Hochelaga-Maisonneuve, Montréal, QC, H1N 3A6",45.582223,-73.541064,1,exact,514 251-1869,www.montrealpivot.org,coordination@montrealpivot.org,Montréal Island,Tuesday to Thursday 9h00 to 12h00 and 13h00 to 16h00,* Listening and referral.* Coffee-meeting.* Recreational activities.* Living environment and support in the community.* Mutual support.* Support and training activities for the animation of mental health mutual support groups for volunteers.* Training.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_249ca31a82,CENTRE D'ENTRAIDE LE RAMEAU D'OLIVIER,Food,Food; Medical; Seniors; Community & Advocacy; Recreation & Culture,"6547 de Marseille Street, Suite 124, Mercier—Hochelaga-Maisonneuve, Montréal, QC, H1N 1M1",45.581609,-73.539435,1,exact,"1
514 254-6035",rameaudolivier.com,info@rameaudolivier.com,Mercier-Ouest,Monday to Friday 8h30 to 16h00,"Community centre and home care for seniors.* Friendly and safety phone calls.* Meals on wheels, community lunches.* Internet access.* Physical, social and leisure activities.* Accompaniment and transportation to medical appointments and shopping by volunteers.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c7c6c88a72,CENTRE D'ENTRAIDE LE RAMEAU D'OLIVIER - ACCOMPANIMENT-TRANSPORTATION,Medical,Medical; Community & Advocacy,"6547 de Marseille Street, Suite 124, Mercier—Hochelaga-Maisonneuve, Montréal, QC, H1N 1M1",45.581609,-73.539435,1,exact,"1
514 254-6035",rameaudolivier.com,info@rameaudolivier.com,"Mercier-Ouest: postal codes starting by H1N and H1M, transportation: Montréal Island, North Shore and South Shore",Monday to Friday 8h30 to 16h00,* Accompaniment and transportation to medical appointments and shopping by volunteers.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_f5cff23f17,CENTRE D'ENTREPRISES ET D'INNOVATION DE MONTRÉAL,Other,Other,"33 Prince Street, Ville-Marie, Montréal, QC, H3C 2M7",45.442526,-73.750086,1,exact,514 866-0575,www.ceim.org/en,info@ceim.org,Greater Montréal,Tuesday to Thursday 8h30 to 16h30,* Assists start-up companies in new technologies or innovative products and services.* Office space rental.* Networking.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_7e64ef6036,CENTRE D'EXPERTISE EN TECHNOLOGIE DE L'INFORMATION EN SANTÉ MENTALE,Medical,Medical,,,,0,,,,,,,,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_0ccad2b7ca,CENTRE D'EXPERTISE MARIE-VINCENT,Medical,Medical; Domestic Violence & Safety; Youth & Family; Education & Literacy; Government Services,"4100 Molson Street, 4rd floor, Rosemont—La Petite-Patrie, Montréal, QC, H1Y 3N1",,,0,,"1
514 285-0505",marie-vincent.org/en,info@marie-vincent.org,Province of Québec,"Monday to Thursday 8h30 to 18h00, Friday 8h30 to 17h00","Prevention of sexual violence against children and adolescents.* Support to children and adolescents who are victims of sexual violence and their parents: police interview, medical examination, needs assessment, psychosocial treatment. (Collaboration with medical partners, police, CAVAC)* Awareness among children, parents and counsellors in community, school or health sectors.* Training for counsellors: conferences, webinars.* Specialized clinical services for children showing problematic sexual behaviors.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_f385f3e2d9,CENTRE D'HÉBERGEMENT ARMAND-LAVERGNE,Shelter,Shelter; Seniors,"3500 Chapleau Street, Le Plateau-Mont-Royal, Montréal, QC, H2K 4N3",45.535741,-73.56351,1,exact,514 527-8921,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-armand-lavergne,,"Le Plateau-Mont-Royal, Ville-Marie",,Public care centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_22f0152abe,CENTRE D'HÉBERGEMENT CHAMPLAIN,Shelter,Shelter; Seniors,"1325 Crawford Street, Verdun, Montréal, QC, H4H 2N6",45.459099,-73.573171,1,approximate,514 766-8513,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-champlain,,"Le Sud-Ouest, Verdun",,Public care centre for seniors and people with a loss of autonomy.* Housing and long term care.* Day centre.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_31308406e7,CENTRE D'HÉBERGEMENT DE DORVAL,Shelter,Shelter; Seniors,"225 de La Présentation Avenue, Dorval, Montréal, QC, H9S 3L7",45.441985,-73.735897,1,exact,514 631-9094,www.ciusss-ouestmtl.gouv.qc.ca/en/facilities/chsld/centre-dhebergement-de-dorval,,West Island,,Public care centre for seniors and people with a loss of autonomy.* Housing and long term cares. 2859,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_283cea442d,CENTRE D'HÉBERGEMENT DE LACHINE,Shelter,Shelter; Medical; Seniors,"650 d'Accueil Place, Lachine, Montréal, QC, H8S 3Z5",45.440518,-73.689946,1,exact,514 634-7161,www.ciusss-ouestmtl.gouv.qc.ca/en/facilities/chsld/centre-dhebergement-de-lachine,,"West Island, Lachine",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.* Day centre with therapeutic services for seniors living at home.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_1e17b91e18,CENTRE D'HÉBERGEMENT DE LASALLE,Shelter,Shelter; Seniors,"8686 Centrale Street, LaSalle, Montréal, QC, H8P 3N4",45.432514,-73.629267,1,approximate,514 364-6700,www.ciusss-ouestmtl.gouv.qc.ca/en/facilities/chsld/centre-dhebergement-de-lasalle,,"West Island, LaSalle",,Public care centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_6f83ef8751,CENTRE D'HÉBERGEMENT DE SAINT-HENRI,Shelter,Shelter; Medical; Seniors,"5205 Notre-Dame Street West, Le Sud-Ouest, Montréal, QC, H4C 3L2",45.467341,-73.622276,1,exact,514 931-0851,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-de-saint-henri,,"Le Sud-Ouest, Verdun",,Public care centre for seniors and people with a loss of autonomy.* Housing and long term care.* Day centre offering therapeutic services to maintain the autonomy of seniors living at home.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c4cc9ae83b,CENTRE D'HÉBERGEMENT DE VERDUN,Shelter,Shelter; Medical; Seniors,"5500 LaSalle Boulevard, Verdun, Montréal, QC, H4H 1N9",45.452368,-73.566024,1,exact,514 769-8801,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-de-verdun,,"Le Sud-Ouest, Verdun",,Public care centre for seniors and people with a loss of autonomy.* Housing and long term care.* Day centre with therapeutic services for seniors living at home.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_e7066f1b39,CENTRE D'HÉBERGEMENT DENIS-BENJAMIN-VIGER,Shelter,Shelter; Seniors,"3292 Cherrier Street, L'Île-Bizard—Sainte-Geneviève, Montréal, QC, H9C 1E4",45.489562,-73.872757,1,exact,514 620-6310,www.ciusss-ouestmtl.gouv.qc.ca/installations/chsld/centre-dhebergement-denis-benjamin-viger 2860,,West Island,,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_39eb178863,CENTRE D'HÉBERGEMENT DES SEIGNEURS,Shelter,Shelter; Seniors,"1800 Saint-Jacques Street, Le Sud-Ouest, Montréal, QC, H3J 2R5",45.489352,-73.571011,1,exact,514 935-4681,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-des-seigneurs,,"Le Sud-Ouest, Verdun",,Public care centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_73338fedb8,CENTRE D'HÉBERGEMENT DU MANOIR-DE-L'ÂGE-D'OR,Shelter,Shelter; Seniors,"3430 Jeanne-Mance Street, Le Plateau-Mont-Royal, Montréal, QC, H2X 2J9",45.511298,-73.565779,1,approximate,514 842-1147,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-du-manoir-de-lage-dor,,"Le Plateau-Mont-Royal, Ville-Marie",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_d8498340d7,CENTRE D'HÉBERGEMENT ERNEST-ROUTHIER,Shelter,Shelter; Seniors,"2110 Wolfe Street, Ville-Marie, Montréal, QC, H2L 4V4",45.50108,-73.568126,1,approximate,514 842-7180,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-ernest-routhier,,"Le Plateau-Mont-Royal, Ville-Marie",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_3427476615,CENTRE D'HÉBERGEMENT J.-HENRI CHARBONNEAU,Shelter,Shelter; Seniors,"3095 Sherbrooke Street East, Rosemont—La Petite-Patrie, Montréal, QC, H1W 1B2",45.517361,-73.567253,1,approximate,514 523-1173,ciusss-estmtl.gouv.qc.ca/etablissement/centre-dhebergement-j-henri-charbonneau,,"Mercier-Hochelaga-Maisonneuve, Rosemont-La Petite-Patrie",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care. 2861,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_0a7b6aded4,CENTRE D'HÉBERGEMENT JEAN-DE LA LANDE,Shelter,Shelter; Seniors,"4255 Papineau Avenue, Le Plateau-Mont-Royal, Montréal, QC, H2H 2P6",45.531313,-73.56985,1,exact,514 526-4981,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-jean-de-la-lande,,"Le Plateau-Mont-Royal, Ville-Marie",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_1401419f8c,CENTRE D'HÉBERGEMENT LA TRAVERSE,Shelter,Shelter; Food; Medical; Immigration & Newcomers; Material Aid,"9000 7th Avenue, Villeray—Saint-Michel—Parc-Extension, Montréal, QC, H1Z 2V6",45.537104,-73.625126,1,approximate,514 382 4999,www.centreslatraverse.org,latraverse@mail.com,Greater Montréal,Monday to Friday 9h00 to 17h00,"Shelter for newcomers.* Listening and support.* Amenities included: meals, community kitchen, laundry room, Internet access, clothing.* On-site services: help filling out forms, nurse.* On-site donation collection.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_746d49668b,CENTRE D'HÉBERGEMENT LOUIS-RIEL,Shelter,Shelter; Seniors,"2120 Augustin-Cantin Street, Le Sud-Ouest, Montréal, QC, H3K 3G3",45.484268,-73.564987,1,approximate,514 931-2263,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-louis-riel,,Le Sud-Ouest,,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_84fdee6228,CENTRE D'HÉBERGEMENT NAZAIRE-PICHÉ,Shelter,Shelter; Seniors,"150 15th Avenue, Lachine, Montréal, QC, H8S 3L9",45.435447,-73.678295,1,exact,514 637-2326,www.ciusss-ouestmtl.gouv.qc.ca/en/facilities/chsld/centre-dhebergement-nazaire-piche,,"West Island, Lachine",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_b886890014,CENTRE D'HÉBERGEMENT NOTRE-DAME-DE-LA-MERCI,Shelter,Shelter; Medical; Seniors,"555 Gouin Boulevard West, Ahuntsic-Cartierville, Montréal, QC, H3L 1K5",45.547795,-73.686802,1,exact,514 331-3020,www.ciusssnordmtl.ca/installations/chsld/centre-dhebergement-notre-dame-de-la-merci,,"Ahuntsic-Cartierville, Montréal-Nord",information centre: 8h00 to 18h00,Public housing centre for seniors and people with significant loss of autonomy.* Housing and long term care.* Palliative and end-of-life care unit.* Unit for individuals with wandering tendencies and a risk of running away.* Users committee: website,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_61e66ebe2d,CENTRE D'HÉBERGEMENT PAUL-BRUCHÉSI,Shelter,Shelter; Seniors,"2225 Rachel Street East, Le Plateau-Mont-Royal, Montréal, QC, H2H 1R4",45.541637,-73.561606,1,approximate,514 526-4981,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-paul-bruchesi,,"Le Plateau-Mont-Royal, Ville-Marie",,Public care centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_87c601ba54,CENTRE D'HÉBERGEMENT PAUL-ÉMILE-LÉGER,Shelter,Shelter; Seniors,"66 René-Lévesque Boulevard East, Ville-Marie, Montréal, QC, H2X 1N3",45.511298,-73.565779,1,approximate,514 861-9331,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-paul-emile-leger,,"Le Plateau-Mont-Royal, Ville-Marie",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_56fa31de19,CENTRE D'HÉBERGEMENT RÉAL-MOREL,Shelter,Shelter; Seniors,"3500 Wellington Street, Verdun, Montréal, QC, H4G 1T3",45.468621,-73.565107,1,exact,514 761-5874,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-real-morel,,"Le Sud-Ouest, Verdun",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c589363848,CENTRE D'HÉBERGEMENT YVON-BRUNET,Shelter,Shelter; Seniors,"6250 Newman Avenue, Le Sud-Ouest, Montréal, QC, H4E 4K4",45.453493,-73.604511,1,exact,514 765-8000,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-yvon-brunet,,"Le Sud-Ouest, Verdun",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_651b40dc43,CENTRE D'HÉBERGEMENT ÉMILIE-GAMELIN,Shelter,Shelter; Medical; Seniors,"1440 Dufresne Street, Ville-Marie, Montréal, QC, H2K 3J3",45.528431,-73.548494,1,exact,514 527-8921,ciusss-centresudmtl.gouv.qc.ca/etablissement/centre-dhebergement-emilie-gamelin,,"Le Plateau-Mont-Royal, Ville-Marie",,Public housing centre for seniors and people with a loss of autonomy.* Housing and long term care.* Day centre with therapeutic services for seniors living at home.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_3ec4b8a005,CENTRE D'INFORMATION POUR ESPAGNOLS,Food,Food; Community & Advocacy,"1420 Bélanger Street East, Rosemont—La Petite-Patrie, Montréal, QC, H2G 1A4",45.550747,-73.58229,1,approximate,514 843-4113,www.misionsantateresadeavila.org,adm.msta@gmail.com,Greater Montréal,"Tuesday to Friday 10h00 to 12h00 and 13h00 to 16h30, food assistance: Wednesday 9h00 to 11h00","* Food and equipment assistance.* Information and referral.* Classes: computer, embroidery and crafts.* Group activities: outings and trips.* Coffee chats.* Christmas baskets for people already benefiting from the food assistance service.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_66f4a3bf0c,CENTRE D'INITIATIVES POUR LE DÉVELOPPEMENT COMMUNAUTAIRE L'UNITÉ,Youth & Family,Youth & Family; Education & Literacy,"1745 Décarie Street, Saint-Laurent, Montréal, QC, H4L 3N5",45.508877,-73.687519,1,approximate,514 744-1239,www.centre-unite.com,info@centre-unite.com,Saint-Laurent,"office: Monday to Friday 9h00 to 16h00, variable depending on activities","* 8 to 12 years old field intervention: animation, prevention, intervention and accompaniment by counsellors in parks, schoolyards, gymnasiums and other meeting places after school.* 12 to 17 years old field intervention: prevention, intervention and accompaniment by counsellors at the Centre des Ados.* School and community intervention: project seeking to offer support and accompaniment to parents and their families in all that concerns the integration process and the academic success of their children through referrals, listening, information workshops, parents-children activities and other school events.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_bb155c53f7,CENTRE D'INTERVENTION DE CRISE TRACOM,Shelter,Shelter; Youth & Family,Confidential Address,,,0,,514 483-3033,www.tracom.ca/home,info@tracom.ca,priority to area served by the CIUSSS Central West Montreal,phoneline: 24 hours / 7 days,"* 24/7 telephone intervention: information, guidance, help request and emotional support.* Short-term crisis housing offering 24/7 support.* Crisis follow-up in the community: evaluation and intervention, individual, family or network meetings, short-term follow-up in person, by phone or videoconference.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_b9b3fddaf8,CENTRE D'INTÉGRATION ET D'INTERVENTION MULTICULTUREL DE L'OUEST DE,Other,Other,,,,0,,,,,,,,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_93d4c0eb11,CENTRE D'INTÉGRATION MULTI-SERVICES DE L'OUEST DE L'ÎLE - ALEXANDER,Medical,Medical; Translation; Immigration & Newcomers; Employment & Income; Youth & Family; Recreation & Culture,"4734 Alexander Street, Pierrefonds-Roxboro, Montréal, QC, H8Y 2B1",45.495508,-73.847175,1,approximate,"1
514 685-3000",cimoi.com/en,info@cimoi.com,"Montréal Island, particularly the West Island","Monday to Friday 8h30 to 16h30, French classes: Monday to Wednesday 18h00 to 21h00 (only during francization sessions)","Reception and integration of immigrants.Francization* Part-time French courses.* French courses in companies.Employment* Job search and internship workshops.* Individual assistance in job search.Integration* Integration Support Program (PASI): Information and orientation, support in administrative procedures, first steps in settling in, etc.* Objective Integration Program.* ICI-Santé service.* Public Writers Service.Other* Collective activities: community dinners, recreational outings.* Nobody's Perfect Program (YAPP): training for parents of young children.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_dbd3742c27,CENTRE D'INTÉGRATION MULTI-SERVICES DE L'OUEST DE L'ÎLE - DORVAL,Translation,Translation; Immigration & Newcomers; Employment & Income; Youth & Family; Recreation & Culture,"1425 Trans-Canada Highway, Suite 140, Dorval, Montréal, QC, H9P 2W9",45.489139,-73.775449,1,exact,514 305-1414,cimoi.com/en,info@cimoi.com,"Montréal Island, particularly the West Island, Saint-Laurent, LaSalle, Lachine","Monday to Friday 8h30 to 16h30, French classes: Monday to Wednesday 18h00 to 21h00 (only during francization sessions)","Reception and integration of immigrants.Francization* Part-time French courses.* French courses in companies.Employment* Job search and internship workshops.* Individual assistance in job search.Integration* Integration Support Program (PASI): Information and orientation, support in administrative procedures, first steps in settling in, etc.Other* Collective activities: community dinners, recreational outings.* Nobody's Perfect Program (YAPP): training for parents of young children.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_a904739ccd,CENTRE D'INTÉGRATION MULTI-SERVICES DE L'OUEST DE L'ÎLE - PIERREFONDS,Translation,Translation; Immigration & Newcomers; Employment & Income; Youth & Family; Recreation & Culture,"15650 de Pierrefonds Boulevard, Pierrefonds-Roxboro, Montréal, QC, H9H 4K3",45.480656,-73.863869,1,exact,514 305-1616,www.cimoi.com/?lang=en,info@cimoi.com,"Montréal Island, particularly the West Island, Saint-Laurent, LaSalle, Lachine","Monday to Friday 8h30 to 16h30, French classes: Monday to Wednesday 18h00 to 21h00 (only during francization sessions)","Reception and integration of immigrants.Francization* Part-time French courses.* French courses in companies.Employment* Job search and internship workshops.* Individual assistance in job search.Integration* Integration Support Program (PASI): Information and orientation, support in administrative procedures, first steps in settling in, etc.Other* Collective activities: community dinners, recreational outings.* Nobody's Perfect Program (YAPP): training for parents of young children.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_0129f4f532,CENTRE D'INTÉGRATION SCOLAIRE,Medical,Medical; Youth & Family; Education & Literacy,"8844 Notre-Dame Street East, Mercier—Hochelaga-Maisonneuve, Montréal, QC, H1L 3M4",45.578965,-73.538447,1,approximate,514 374-8490,,centre.dintegration.scolaire@gmail.com,Greater Montréal,"Monday to Thursday 8h00 to 16h15, Friday 8h00 to 15h00","Primary and secondary level day school for youth with social and affective adaptation issues.* Individualized teaching.* Rehabilitation activities.* Staff including remedial education specialists, school rehabilitation teachers, specialized educators, psychologists, social workers, psychoeducators and speech therapists.* Free transport for students.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_5ff97f322d,CENTRE D'INTÉGRATION TSA,Youth & Family,Youth & Family,"811 Fillion Street, Ahuntsic-Cartierville, Montréal, QC, H4J 1T6",45.541862,-73.680319,1,approximate,514 679-8689,,kathalay2@hotmail.com,Montréal Island,,"* Support, listening and information to parents.* Weekend respite from Friday to Sunday.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_d404ced3f8,CENTRE D'INTÉGRATION À LA VIE ACTIVE,Youth & Family,Youth & Family; Disability; Education & Literacy; Recreation & Culture,"525 Dominion Street, Suite 330, Le Sud-Ouest, Montréal, QC, H3J 2B4",45.484722,-73.572689,1,exact,514 935-1109,civa.qc.ca,info@civa.qc.ca,Montréal Island,administration: Monday to Friday 9h30 to 16h30,"* Sports, recreational, social and cultural activities centre for people with disabilities.* Integration support.* Loan of sports and outdoor equipment.* Youth program.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c36e059869,CENTRE D'ORIENTATION DES NOUVEAUX ARRIVANTS ET IMMIGRANTS DE MONTRÉAL,Immigration & Newcomers,Medical; Immigration & Newcomers; Employment & Income; Material Aid,"6767 de la Côte-des-Neiges Road, Suite 693-4, Côte-des-Neiges—Notre-Dame-de-Grâce, Montréal, QC, H3S 2T6",45.503308,-73.63705,1,approximate,514 733-0738,www.conam.sitew.ca,conamc6@hotmail.ca,Greater Montréal,"Monday to Thursday 9h00 to 12h00 and 13h00 to 16h00, Friday 9h00 to 12h00 and 13h00 to 15h00","* Reception and referrals.* Individual counselling.* Assistance with filling out forms.* Certification of documents.* Preparation for the citizenship exam.* Employability: assistance with writing resumes and cover letters, preparation for interviews and job search assistance.* Clothing shop: free distribution of clothes, toys, etc.* Assistance with filling forms.* Tax clinic.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_091f6ac69b,CENTRE D'ORIENTATION ET DE PRÉVENTION D'ALCOOLISME ET TOXICOMANIE LATINO,Medical,Medical,,,,0,,,,,,,,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_fbb7cd4326,CENTRE D'ORIENTATION PARALÉGALE ET SOCIALE POUR IMMIGRANTS,Immigration & Newcomers,Food; Medical; Legal; Translation; Immigration & Newcomers; Seniors; Youth & Family,"435 Beaubien Street East, Suite 203, Rosemont—La Petite-Patrie, Montréal, QC, H2S 1S4",45.534636,-73.604885,1,exact,438 531-6976,www.copsi.ca,directrice@copsi.ca,Greater Montréal,"Monday, Wednesday to Friday 9h00 to 17h00, Tuesday 8h00 to 16h00, dinner and dancing: September to June, last Friday of the month, holiday schedule: closed from Decembre 16 to January 5 inclusive","* Food bank and food assistance.* Weekly low-cost meals.* Paralegal and social counselling for immigrants and asylum seekers.* Services for immigrant seniors: translation, assistance for health care appointments booking, etc.* Translation, writing and certification of documents.* Nobody's Perfect program: workshops for parents of children 5 years and under.* Activities, workshops, courses, physical exercice, outings and conferences for seniors.* Christmas baskets.* Dinner and dancing.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
